,Model Type,MSE Score,MSE Raw Score,RMSE Score,Data Correlation,CV round,File
1784,XGBoost,1511157.4717664663,17852909.94848042,1229.2914511076965,-0.9655556909267561,2,transformed_data__impute__scale__pct_change__local_smooth.csv
1785,LightGBM,2512400.964313094,19745353.94606598,1585.0555082750554,-0.9655556909267561,2,transformed_data__impute__scale__pct_change__local_smooth.csv
1786,XGBoost,48122698.28614725,7793036.045487838,6937.052564753078,0.781650584184678,3,transformed_data__impute__scale__pct_change__local_smooth.csv
1787,LightGBM,49445836.87871317,8822866.238693208,7031.773380784763,0.781650584184678,3,transformed_data__impute__scale__pct_change__local_smooth.csv
1788,XGBoost,2286666.8790407693,128861508.49653053,1512.1728998500037,0.7310174316471049,4,transformed_data__impute__scale__pct_change__local_smooth.csv
1789,LightGBM,4099042.4578445638,110655706.77924247,2024.6092111428723,0.7310174316471049,4,transformed_data__impute__scale__pct_change__local_smooth.csv
1790,XGBoost,798249.2141415208,170291499.8070399,893.4479358874364,0.9846734992350606,5,transformed_data__impute__scale__pct_change__local_smooth.csv
1791,LightGBM,2198858.26170681,156464928.5837974,1482.8547675705838,0.9846734992350606,5,transformed_data__impute__scale__pct_change__local_smooth.csv
1792,XGBoost,249001793589.57162,344197862270.2935,499000.7951792979,0.2900253513479659,1,transformed_data__impute__scale__pct_change__local_smooth.csv
1793,LightGBM,284653752600.05615,386483471067.7347,533529.523644246,0.2900253513479659,1,transformed_data__impute__scale__pct_change__local_smooth.csv
1794,XGBoost,542195281594.2397,109287944987.25598,736339.1077446856,0.0398957591168591,2,transformed_data__impute__scale__pct_change__local_smooth.csv
1795,LightGBM,503985737766.8636,73235087329.50827,709919.5290783764,0.0398957591168591,2,transformed_data__impute__scale__pct_change__local_smooth.csv
1796,XGBoost,2.5347418290479406e+18,153843360149.3946,1592087255.4756353,0.31156254062457434,3,transformed_data__impute__scale__pct_change__local_smooth.csv
1797,LightGBM,2.5351423790068756e+18,151793038554.84937,1592213044.4783058,0.31156254062457434,3,transformed_data__impute__scale__pct_change__local_smooth.csv
1798,XGBoost,906689222232138.9,906842165496867.8,30111280.64749387,0.08893233654064442,4,transformed_data__impute__scale__pct_change__local_smooth.csv
1799,LightGBM,8284893159263631.0,8285035952756244.0,91021388.47141166,0.08893233654064442,4,transformed_data__impute__scale__pct_change__local_smooth.csv
1800,XGBoost,3013172293159214.0,7607915.364805969,54892370.08145316,-0.9362730155740022,5,transformed_data__impute__scale__pct_change__local_smooth.csv
1801,LightGBM,3013172293159214.0,7607915.364805969,54892370.08145316,-0.9362730155740022,5,transformed_data__impute__scale__pct_change__local_smooth.csv
1802,XGBoost,18592920073.21342,2474425983030.009,136355.8582284363,-0.9993319990643483,1,transformed_data__impute__scale__pct_change__log_all.csv
1803,LightGBM,370038549.83602935,2202541470206.2256,19236.386090844335,-0.9993319990643483,1,transformed_data__impute__scale__pct_change__log_all.csv
1804,XGBoost,77400800902.67929,2361392698627.9014,278209.9942537638,-0.9999987690840757,2,transformed_data__impute__scale__pct_change__log_all.csv
1805,LightGBM,61932590505.76613,2293960378518.4346,248862.5936250085,-0.9999987690840757,2,transformed_data__impute__scale__pct_change__log_all.csv
1806,XGBoost,127269771320.90129,2440571110120.893,356748.89112778095,-0.9755722503819554,3,transformed_data__impute__scale__pct_change__log_all.csv
1807,LightGBM,6038824694.693049,1744976839216.984,77709.87514269374,-0.9755722503819554,3,transformed_data__impute__scale__pct_change__log_all.csv
1808,XGBoost,454805426566.7544,2392334845179.429,674392.6353147359,-0.9630174687670525,4,transformed_data__impute__scale__pct_change__log_all.csv
1809,LightGBM,429502692809.52606,2310404905715.076,655364.5495520231,-0.9630174687670525,4,transformed_data__impute__scale__pct_change__log_all.csv
1810,XGBoost,2049159668194.9395,110320336321.12854,1431488.6196526117,0.9992384378641039,5,transformed_data__impute__scale__pct_change__log_all.csv
1811,LightGBM,586885980269.1943,609527032852.1002,766084.838819562,0.9992384378641039,5,transformed_data__impute__scale__pct_change__log_all.csv
1812,XGBoost,585152145953.6453,585148106526.213,764952.3814941981,-0.29507929759605656,1,transformed_data__impute__scale__pct_change__log_all.csv
1813,LightGBM,29955.59135919094,102356.90108619885,173.07683657610264,-0.29507929759605656,1,transformed_data__impute__scale__pct_change__log_all.csv
1814,XGBoost,1.6409409424673272e+25,1.6409409433257553e+25,4050852925579.164,0.9819908946238478,2,transformed_data__impute__scale__pct_change__log_all.csv
1815,LightGBM,4665979822840099.0,4666208578815662.0,68307977.73935413,0.9819908946238478,2,transformed_data__impute__scale__pct_change__log_all.csv
1816,XGBoost,1.989036232939586e+16,1.989036350681274e+16,141033195.8419572,0.9402297366672556,3,transformed_data__impute__scale__pct_change__log_all.csv
1817,LightGBM,579048151.9927492,580335573.0767161,24063.4193744935,0.9402297366672556,3,transformed_data__impute__scale__pct_change__log_all.csv
